id,permalink,username,text,posted,retweets,favorites,series,sentiment,season
1246588343044960000,https://twitter.com/desstiny31/status/1246588343044968454,desstiny31,money heist was rlly fucking w me I love her ,2020-04-04 23:59:56+00:00,0,0,Money Heist,1,4
1246588337349180000,https://twitter.com/northsidemozart/status/1246588337349185536,northsidemozart,Yh so far money heist is coldddd,2020-04-04 23:59:54+00:00,0,1,Money Heist,1,4
1246588333771410000,https://twitter.com/simshadyyy/status/1246588333771415558,simshadyyy,dudeeee money heist is so GOOOODDD whoa.,2020-04-04 23:59:53+00:00,0,0,Money Heist,1,4
1246588322308380000,https://twitter.com/barbiana____/status/1246588322308382726,barbiana____,i’m only on season 1 but money heist good AF,2020-04-04 23:59:51+00:00,0,0,Money Heist,1,4
1246588320731330000,https://twitter.com/ThatGuyNath_/status/1246588320731332608,ThatGuyNath_,I’m bored of everything rn fackkk don’t wanna run out of Money Heist episodes too quickly,2020-04-04 23:59:50+00:00,0,0,Money Heist,1,4
1246588309469610000,https://twitter.com/AyoBigSosa/status/1246588309469618184,AyoBigSosa,Why everybody mad at Money Heist ,2020-04-04 23:59:48+00:00,0,0,Money Heist,1,4
1246588292772040000,https://twitter.com/derickswank2/status/1246588292772044807,derickswank2,I actually muted like 15 people yesterday because of money heist spoilers ..This tweet just reminded me of them,2020-04-04 23:59:44+00:00,0,1,Money Heist,1,4
1246588291245390000,https://twitter.com/chellyyy__/status/1246588291245395969,chellyyy__,Money Heist ,2020-04-04 23:59:43+00:00,0,2,Money Heist,1,4
1246588284429530000,https://twitter.com/xoaisja/status/1246588284429533184,xoaisja,this final EPISODE OF MONEY HEIST THOOO &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; but that damn cliffhanger &lt;&lt;&lt;,2020-04-04 23:59:42+00:00,0,0,Money Heist,1,4
1246588282558870000,https://twitter.com/davidsonblake7/status/1246588282558873605,davidsonblake7,eyes sweating watching money heist ,2020-04-04 23:59:41+00:00,0,1,Money Heist,1,4
1246588280893620000,https://twitter.com/__roanganda/status/1246588280893624320,__roanganda,"Gusto kong mag move on sa Money Heist, to watch another series kaso masyadong masakit",2020-04-04 23:59:41+00:00,0,0,Money Heist,1,4
1246588278565940000,https://twitter.com/MiaBria_/status/1246588278565941249,MiaBria_,Omg I need the next season NOW why would you end it like that got my blood pressure up #MoneyHeist ,2020-04-04 23:59:40+00:00,0,0,Money Heist,1,4
1246588277324480000,https://twitter.com/AFCCamz/status/1246588277324480512,AFCCamz,Money Heist&gt;&gt;&gt;&gt;&gt;,2020-04-04 23:59:40+00:00,0,1,Money Heist,1,4
1246588226967650000,https://twitter.com/ItsAbdu1/status/1246588226967658497,ItsAbdu1,I rated Money Heist: 5 minutos antes (S4.E5) 8/10 #IMDb عطاهم نينجا ديڤيوز ,2020-04-04 23:59:28+00:00,0,0,Money Heist,1,4
1246588224954400000,https://twitter.com/ash_jaw/status/1246588224954404864,ash_jaw,No sah. Money Heist need some popcorn,2020-04-04 23:59:27+00:00,0,0,Money Heist,1,4
1246588216729360000,https://twitter.com/PublicEnemyyNo1/status/1246588216729362438,PublicEnemyyNo1,Omg Is He Gone Kill This Pregnant Lady On Money Heist Who Got Caught With The Phone And Money,2020-04-04 23:59:26+00:00,0,0,Money Heist,1,4
1246588179613910000,https://twitter.com/Criceey10/status/1246588179613913088,Criceey10,let’s watch this new season of money heist then ,2020-04-04 23:59:17+00:00,0,0,Money Heist,1,4
1246588156998070000,https://twitter.com/gwapashaaa/status/1246588156998070273,gwapashaaa,Liking every money heist tweets now coz they're simply moods yeah,2020-04-04 23:59:11+00:00,0,0,Money Heist,1,4
1246588156817870000,https://twitter.com/KezUrgh/status/1246588156817870848,KezUrgh,Was gonna start Money Heist but I’m hearing it’s subtitles. If I’m gonna be reading I might as well pick this book I’ve been airing for the longest,2020-04-04 23:59:11+00:00,0,2,Money Heist,1,4
1246588152787190000,https://twitter.com/tatsbabyy/status/1246588152787197952,tatsbabyy,Tokyo from money heist ,2020-04-04 23:59:10+00:00,0,0,Money Heist,1,4
